Frame,CORI_Roll,CORI_Pitch,CORI_Yaw,IORI_Roll,IORI_Pitch,IORI_Yaw,CORI_Pitch_Half,GRAV_X,GRAV_Y,GRAV_Z,GRAV_Roll,GRAV_Pitch
77,5.59,55.64,3.64,0.0,-3.46,0.0,27.82,-27464,17558,-3321,-122.59,-5.82
78,8.26,51.85,5.43,0.0,0.16,0.0,25.92,-26390,19294,-2219,-126.17,-3.88
79,11.13,45.25,6.61,0.0,5.91,0.0,22.63,-24149,22136,-665,-132.51,-1.16
80,13.32,35.15,7.11,0.0,14.16,0.0,17.58,-20026,25911,1101,-142.3,1.93
81,14.86,22.01,6.98,0.0,20.0,0.0,11.01,-13634,29666,2780,-155.32,4.87
82,15.7,8.42,7.42,0.0,20.0,0.0,4.21,-6358,31898,3967,-168.73,6.95
83,13.5,-5.03,8.15,0.0,20.0,0.0,-2.52,1124,32620,2885,178.03,5.05
84,9.43,-18.68,8.17,0.0,20.0,0.0,-9.34,8794,31564,206,164.43,0.36
85,7.87,-30.88,6.71,0.0,20.0,0.0,-15.44,15303,28958,-954,152.15,-1.67
86,6.54,-41.77,5.69,0.0,20.0,0.0,-20.88,20508,25480,-1973,141.17,-3.45
87,2.76,-50.98,5.83,0.0,20.0,0.0,-25.49,24243,21677,-4003,131.8,-7.02
88,1.7,-58.01,5.64,0.0,20.0,0.0,-29.01,26714,18457,-4396,124.64,-7.71
89,1.49,-62.71,5.24,0.0,20.0,0.0,-31.35,28151,16151,-4510,119.84,-7.91
90,0.13,-65.6,6.47,0.0,20.0,0.0,-32.8,28872,14695,-4911,116.97,-8.62
91,-0.29,-66.74,6.84,0.0,19.03,0.0,-33.37,29142,14124,-4991,115.86,-8.76
92,-0.06,-66.92,6.7,0.0,17.29,0.0,-33.46,29186,14053,-4936,115.71,-8.66
93,0.3,-66.72,6.96,0.0,15.38,0.0,-33.36,29127,14205,-4845,116.0,-8.5
94,1.16,-66.05,6.63,0.0,13.24,0.0,-33.03,28976,14581,-4633,116.71,-8.13
95,2.72,-64.59,5.03,0.0,10.62,0.0,-32.29,28658,15305,-4256,118.1,-7.46
96,5.27,-62.01,2.31,0.0,7.32,0.0,-31.0,28070,16531,-3528,120.49,-6.18
97,8.03,-57.84,-0.4,0.0,2.99,0.0,-28.92,26963,18447,-2522,124.38,-4.41
98,10.42,-50.96,-1.92,0.0,-3.31,0.0,-25.48,24761,21425,-1243,130.87,-2.17
99,12.08,-39.18,-1.85,0.0,-13.41,0.0,-19.59,19960,25983,396,142.47,0.69
100,12.31,-23.42,-1.0,0.0,-20.0,0.0,-11.71,12165,30390,1472,158.18,2.57
101,11.52,-5.16,-0.27,0.0,-20.0,0.0,-2.58,2090,32664,1534,176.34,2.68
102,9.88,13.74,1.43,0.0,-20.0,0.0,6.87,-8761,31572,388,-164.49,0.68
103,8.88,29.39,3.97,0.0,-20.0,0.0,14.7,-17032,27982,-727,-148.67,-1.27
104,9.87,41.97,6.82,0.0,-20.0,0.0,20.98,-22804,23515,-799,-135.88,-1.4
105,7.33,52.03,7.01,0.0,-20.0,0.0,26.01,-26539,19056,-2480,-125.68,-4.34
106,2.72,57.56,4.24,0.0,-20.0,0.0,28.78,-28047,16399,-4245,-120.31,-7.44
107,1.07,59.88,2.76,0.0,-20.0,0.0,29.94,-28613,15246,-4739,-118.05,-8.32
108,0.84,60.49,1.77,0.0,-18.53,0.0,30.25,-28721,15022,-4803,-117.61,-8.43
109,0.51,60.11,0.95,0.0,-16.33,0.0,30.05,-28585,15245,-4908,-118.07,-8.61
110,0.13,58.97,-0.05,0.0,-13.68,0.0,29.49,-28236,15848,-5018,-119.3,-8.81
